0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 1
11 1
12 2
13 0
14 2
15 0
16 4
17 4
18 2
19 13
20 12
21 21
22 22
23 51
24 73
25 88
26 112
27 161
28 198
29 238
30 333
31 374
32 462
33 547
34 654
35 668
36 729
37 801
38 807
39 892
40 917
41 782
42 790
43 727
44 680
45 530
46 553
47 485
